Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
2,120175,08/28/2013,1888,252484-1,252484-1,08/13G,08/28/2013,252484-1,100,1000,"","","",315.2,0
3,120175,08/28/2013,1888,252484-1,252484-1,08/13G,08/28/2013,252484-1,300,3990,"","","",315.2,0
4,120175,08/28/2013,1888,252484-1,252484-1,08/13G,08/28/2013,252484-1,100,3990,"","","",0,315.2
1,120175,08/28/2013,2567,252485-1,252485-1,08/13G,08/28/2013,252485-1,300,1201,"","","",0,311.26
2,120175,08/28/2013,2567,252485-1,252485-1,08/13G,08/28/2013,252485-1,100,1000,"","","",311.26,0
3,120175,08/28/2013,2567,252485-1,252485-1,08/13G,08/28/2013,252485-1,300,3990,"","","",311.26,0
4,120175,08/28/2013,2567,252485-1,252485-1,08/13G,08/28/2013,252485-1,100,3990,"","","",0,311.26
1,120175,08/28/2013,GNT057,252486-1,252486-1,08/13G,08/28/2013,252486-1,300,1201,"","","",0,189.12
2,120175,08/28/2013,GNT057,252486-1,252486-1,08/13G,08/28/2013,252486-1,100,1000,"","","",189.12,0
3,120175,08/28/2013,GNT057,252486-1,252486-1,08/13G,08/28/2013,252486-1,300,3990,"","","",189.12,0
4,120175,08/28/2013,GNT057,252486-1,252486-1,08/13G,08/28/2013,252486-1,100,3990,"","","",0,189.12
1,120175,08/28/2013,2227,252487-1,252487-1,08/13G,08/28/2013,252487-1,300,1201,"","","",0,1012.58
2,120175,08/28/2013,2227,252487-1,252487-1,08/13G,08/28/2013,252487-1,100,1000,"","","",1012.58,0
3,120175,08/28/2013,2227,252487-1,252487-1,08/13G,08/28/2013,252487-1,300,3990,"","","",1012.58,0
4,120175,08/28/2013,2227,252487-1,252487-1,08/13G,08/28/2013,252487-1,100,3990,"","","",0,1012.58
1,120175,08/28/2013,2920,252488-1,252488-1,08/13G,08/28/2013,252488-1,300,1201,"","","",0,283.68
2,120175,08/28/2013,2920,252488-1,252488-1,08/13G,08/28/2013,252488-1,100,1000,"","","",283.68,0
3,120175,08/28/2013,2920,252488-1,252488-1,08/13G,08/28/2013,252488-1,300,3990,"","","",283.68,0
4,120175,08/28/2013,2920,252488-1,252488-1,08/13G,08/28/2013,252488-1,100,3990,"","","",0,283.68
1,120175,08/28/2013,2577,252489-1,252489-1,08/13G,08/28/2013,252489-1,300,1201,"","","",0,661.92
2,120175,08/28/2013,2577,252489-1,252489-1,08/13G,08/28/2013,252489-1,100,1000,"","","",661.92,0
3,120175,08/28/2013,2577,252489-1,252489-1,08/13G,08/28/2013,252489-1,300,3990,"","","",661.92,0
4,120175,08/28/2013,2577,252489-1,252489-1,08/13G,08/28/2013,252489-1,100,3990,"","","",0,661.92
1,120175,08/28/2013,2613,252490-1,252490-1,08/13G,08/28/2013,252490-1,300,1201,"","","",0,551.6
2,120175,08/28/2013,2613,252490-1,252490-1,08/13G,08/28/2013,252490-1,100,1000,"","","",551.6,0
3,120175,08/28/2013,2613,252490-1,252490-1,08/13G,08/28/2013,252490-1,300,3990,"","","",551.6,0
4,120175,08/28/2013,2613,252490-1,252490-1,08/13G,08/28/2013,252490-1,100,3990,"","","",0,551.6
1,120175,08/28/2013,2542,252491-1,252491-1,08/13G,08/28/2013,252491-1,300,1201,"","","",0,772.24
2,120175,08/28/2013,2542,252491-1,252491-1,08/13G,08/28/2013,252491-1,100,1000,"","","",772.24,0
3,120175,08/28/2013,2542,252491-1,252491-1,08/13G,08/28/2013,252491-1,300,3990,"","","",772.24,0
4,120175,08/28/2013,2542,252491-1,252491-1,08/13G,08/28/2013,252491-1,100,3990,"","","",0,772.24
1,120175,08/28/2013,2130,252492-1,252492-1,08/13G,08/28/2013,252492-1,300,1201,"","","",0,204.88
2,120175,08/28/2013,2130,252492-1,252492-1,08/13G,08/28/2013,252492-1,100,1000,"","","",204.88,0
3,120175,08/28/2013,2130,252492-1,252492-1,08/13G,08/28/2013,252492-1,300,3990,"","","",204.88,0
4,120175,08/28/2013,2130,252492-1,252492-1,08/13G,08/28/2013,252492-1,100,3990,"","","",0,204.88
1,120175,08/28/2013,2551,252493-1,252493-1,08/13G,08/28/2013,252493-1,300,1201,"","","",0,441.28
2,120175,08/28/2013,2551,252493-1,252493-1,08/13G,08/28/2013,252493-1,100,1000,"","","",441.28,0
3,120175,08/28/2013,2551,252493-1,252493-1,08/13G,08/28/2013,252493-1,300,3990,"","","",441.28,0
4,120175,08/28/2013,2551,252493-1,252493-1,08/13G,08/28/2013,252493-1,100,3990,"","","",0,441.28
1,120175,08/28/2013,2544,252494-1,252494-1,08/13G,08/28/2013,252494-1,300,1201,"","","",0,567.36
2,120175,08/28/2013,2544,252494-1,252494-1,08/13G,08/28/2013,252494-1,100,1000,"","","",567.36,0
3,120175,08/28/2013,2544,252494-1,252494-1,08/13G,08/28/2013,252494-1,300,3990,"","","",567.36,0
4,120175,08/28/2013,2544,252494-1,252494-1,08/13G,08/28/2013,252494-1,100,3990,"","","",0,567.36
1,120175,08/28/2013,2545,252495-1,252495-1,08/13G,08/28/2013,252495-1,300,1201,"","","",0,197.0
2,120175,08/28/2013,2545,252495-1,252495-1,08/13G,08/28/2013,252495-1,100,1000,"","","",197.0,0
3,120175,08/28/2013,2545,252495-1,252495-1,08/13G,08/28/2013,252495-1,300,3990,"","","",197.0,0
4,120175,08/28/2013,2545,252495-1,252495-1,08/13G,08/28/2013,252495-1,100,3990,"","","",0,197.0
1,120175,08/28/2013,GNT1065,252496-1,252496-1,08/13G,08/28/2013,252496-1,300,1201,"","","",0,535.84
2,120175,08/28/2013,GNT1065,252496-1,252496-1,08/13G,08/28/2013,252496-1,100,1000,"","","",535.84,0
3,120175,08/28/2013,GNT1065,252496-1,252496-1,08/13G,08/28/2013,252496-1,300,3990,"","","",535.84,0
4,120175,08/28/2013,GNT1065,252496-1,252496-1,08/13G,08/28/2013,252496-1,100,3990,"","","",0,535.84
1,120175,08/28/2013,2663,252497-1,252497-1,08/13G,08/28/2013,252497-1,300,1201,"","","",0,78.8
2,120175,08/28/2013,2663,252497-1,252497-1,08/13G,08/28/2013,252497-1,100,1000,"","","",78.8,0
3,120175,08/28/2013,2663,252497-1,252497-1,08/13G,08/28/2013,252497-1,300,3990,"","","",78.8,0
4,120175,08/28/2013,2663,252497-1,252497-1,08/13G,08/28/2013,252497-1,100,3990,"","","",0,78.8
1,120175,08/28/2013,2528,252498-1,252498-1,08/13G,08/28/2013,252498-1,300,1201,"","","",0,252.16
2,120175,08/28/2013,2528,252498-1,252498-1,08/13G,08/28/2013,252498-1,100,1000,"","","",252.16,0
3,120175,08/28/2013,2528,252498-1,252498-1,08/13G,08/28/2013,252498-1,300,3990,"","","",252.16,0
