Seq,Receipt #,post_date,other id,invoice #,header memo,batch,doc date,detail memo,fund,account,cc1,cc2,cc3,debit,credit
3,98000004426,07/22/2013,2575,246417,246417,07/13SHP,07/22/2013,246417,300,3990,"","","",242.08,0
4,98000004426,07/22/2013,2575,246417,246417,07/13SHP,07/22/2013,246417,100,3990,"","","",0,242.08
1,98000004426,07/22/2013,2575,246418,246418,07/13SHP,07/22/2013,246418,300,1204,"","","",0,783.2
2,98000004426,07/22/2013,2575,246418,246418,07/13SHP,07/22/2013,246418,100,1000,"","","",783.2,0
3,98000004426,07/22/2013,2575,246418,246418,07/13SHP,07/22/2013,246418,300,3990,"","","",783.2,0
4,98000004426,07/22/2013,2575,246418,246418,07/13SHP,07/22/2013,246418,100,3990,"","","",0,783.2
1,98000004426,07/22/2013,2679,246420,246420,07/13SHP,07/22/2013,246420,300,1204,"","","",0,1400.0
2,98000004426,07/22/2013,2679,246420,246420,07/13SHP,07/22/2013,246420,100,1000,"","","",1400.0,0
3,98000004426,07/22/2013,2679,246420,246420,07/13SHP,07/22/2013,246420,300,3990,"","","",1400.0,0
4,98000004426,07/22/2013,2679,246420,246420,07/13SHP,07/22/2013,246420,100,3990,"","","",0,1400.0
1,98000004426,07/22/2013,2574,246421,246421,07/13SHP,07/22/2013,246421,300,1204,"","","",0,327.52
2,98000004426,07/22/2013,2574,246421,246421,07/13SHP,07/22/2013,246421,100,1000,"","","",327.52,0
3,98000004426,07/22/2013,2574,246421,246421,07/13SHP,07/22/2013,246421,300,3990,"","","",327.52,0
4,98000004426,07/22/2013,2574,246421,246421,07/13SHP,07/22/2013,246421,100,3990,"","","",0,327.52
1,98000004426,07/22/2013,2600,246422,246422,07/13SHP,07/22/2013,246422,300,1204,"","","",0,854.4
2,98000004426,07/22/2013,2600,246422,246422,07/13SHP,07/22/2013,246422,100,1000,"","","",854.4,0
3,98000004426,07/22/2013,2600,246422,246422,07/13SHP,07/22/2013,246422,300,3990,"","","",854.4,0
4,98000004426,07/22/2013,2600,246422,246422,07/13SHP,07/22/2013,246422,100,3990,"","","",0,854.4
1,98000004426,07/22/2013,2572,246423,246423,07/13SHP,07/22/2013,246423,300,1204,"","","",0,384.48
2,98000004426,07/22/2013,2572,246423,246423,07/13SHP,07/22/2013,246423,100,1000,"","","",384.48,0
3,98000004426,07/22/2013,2572,246423,246423,07/13SHP,07/22/2013,246423,300,3990,"","","",384.48,0
4,98000004426,07/22/2013,2572,246423,246423,07/13SHP,07/22/2013,246423,100,3990,"","","",0,384.48
1,98000004426,07/22/2013,2576,246424,246424,07/13SHP,07/22/2013,246424,300,1204,"","","",0,170.88
2,98000004426,07/22/2013,2576,246424,246424,07/13SHP,07/22/2013,246424,100,1000,"","","",170.88,0
3,98000004426,07/22/2013,2576,246424,246424,07/13SHP,07/22/2013,246424,300,3990,"","","",170.88,0
4,98000004426,07/22/2013,2576,246424,246424,07/13SHP,07/22/2013,246424,100,3990,"","","",0,170.88
1,98000004426,07/22/2013,2646,246425,246425,07/13SHP,07/22/2013,246425,300,1204,"","","",0,569.6
2,98000004426,07/22/2013,2646,246425,246425,07/13SHP,07/22/2013,246425,100,1000,"","","",569.6,0
